amount_tweeted,created_at,language,location,primary_geo,screen_name,text_tweet,timestamp,ts,user_id,borough
1.0,Mon Apr 16 17:00:53 +0000 2018,en,"Harrow, Middlesex HA1 1NS","Barnet, London, United Kingdom",middxfa,Photos from yesterdays U16 #CapitalGirlsCup Final between @QPRGirlsFC and @ThlfcOfficial are available here thanks https://t.co/yq4P2mKUdV,1523898053445,,164692425.0,Barnet
3.0,Mon Apr 16 17:00:59 +0000 2018,en,"Hornchurch, UK","Romford, London, United Kingdom",Motherfantaskis,"Don't deport #Windrush Generation migrants, who've lived and worked here all their lives - pls sign and RT the peti https://t.co/2OGRHNtb7t",1523898059507,,406533452.0,Havering
1.0,Mon Apr 16 17:00:59 +0000 2018,en,"Ealing, London, UK","Ealing, London, United Kingdom",DDIGITALMEDIA,@ScouseSocialism Propping up a weak far right racist PM from the other party is not a good look from the progress fringes.,1523898059464,,16805786.0,Ealing
1.0,Mon Apr 16 17:01:00 +0000 2018,en,,"Lambeth, London, United Kingdom",ChescaKenyon,@SW_Help there are reports of a fire delaying the 18.02 to Woking? No further information please can you help? Where is the fire?,1523898060885,,234157566.0,Lambeth
1.0,Mon Apr 16 17:01:02 +0000 2018,en,Crystal Palace,"51.4203, -0.0705",annemod30,"Bringing retro back. Letter writing a lost art with sambrown30 great way to spend the afternoon, https://t.co/u6bjXnaUKg",1523898062812,,242893830.0,Bromley
1.0,Mon Apr 16 17:01:03 +0000 2018,en,London,"51.5176, -0.1075",seemaapatel,#workperks #mademyownflavor #kettlechipsgalore ??? @ Holborn Circus https://t.co/0SRKG8Qnv7,1523898063051,,29321680.0,City of London
6.0,Mon Apr 16 17:01:06 +0000 2018,en,London,"51.57533181, -0.10380927",MusicNewsWeb,https://t.co/cGbkkwFHAS #CalvinHarris &amp; #DuaLipa have a strong midweek lead over #Drake https://t.co/PMzo6wJYWx https://t.co/FwKfLTNIst,1523898066215,,27847155.0,Haringey
2.0,Mon Apr 16 17:01:15 +0000 2018,en,London,"Harrow, London, United Kingdom",TheTallBlonde1,"I'm going to play 'Hellblade Senua's Sacrifice' tonight. Nominated for 9 BAFTA awards last week, it won 5 awards in https://t.co/pGiXi1YgZv",1523898075630,,31195589.0,Harrow
1.0,Mon Apr 16 17:01:20 +0000 2018,en,London,"Richmond, London, United Kingdom",krisreadsbooks,When lovely parents of year 9 personal tutoring pupil bring me a bottle of wine back from their trip to France ?,1523898080416,,26469806.0,Richmond upon Thames
2.0,Mon Apr 16 17:01:20 +0000 2018,und,"London, England","Kingston upon Thames, London, United Kingdom",hareznamiq,@ska11a ????,1523898080436,,730275216.0,Kingston upon Thames
2.0,Mon Apr 16 17:01:24 +0000 2018,en,NWLDN,"Barnet, London, United Kingdom",oscar_fitz,@CarefreeOl Sorry Mr pro Tory,1523898084268,,489838926.0,Barnet
1.0,Mon Apr 16 17:01:25 +0000 2018,en,Paris - London,"51.51111, -0.1232947",greg_frenchie,I'm with @jamieoliver. I've #AdEnough of kids being bombarded with junk food ads. It's a simple https://t.co/q12dYrxsRe,1523898085625,,7.17637365636993e+17,Westminster
2.0,Mon Apr 16 17:01:26 +0000 2018,en,"Bermondsey, South East London","Camberwell, London, United Kingdom",dhsberty,@janders9414 @CassandraRules I'm not a Trumpet'er. He joined in the West's illegal Attack against Syria..  Your hat https://t.co/EWY1IFhB1Z,1523898086092,,8.965394543531459e+17,Southwark
2.0,Mon Apr 16 17:01:26 +0000 2018,it,"London, England","Kensington, London, Reino Unido",magrinday,viva la feria illo https://t.co/FFPfcPwSwg,1523898086126,,48973381.0,Kensington and Chelsea
6.0,Mon Apr 16 17:01:28 +0000 2018,en,"Wimbledon, SW London, UK","51.39666667, -0.23722222",MWWeather,"Wimbledon UK - Fairly fine, possible showers early. Now:15.1C - Full Details at https://t.co/dWIbjAjP34",1523898088078,,469453776.0,Merton
1.0,Mon Apr 16 17:01:34 +0000 2018,und,,"Stratford, London, United Kingdom",MatidraE,??????????? @LongliveCleo_ https://t.co/58ajlCA0w7,1523898094849,,9.834094820415693e+17,Newham
1.0,Mon Apr 16 17:01:35 +0000 2018,und,"London, England","City of London, London, United Kingdom",harleybearcoco,#panda https://t.co/DltqYGLdN3,1523898095366,,8.167257217794703e+17,City of London
1.0,Mon Apr 16 17:01:39 +0000 2018,en,"Notting Hill, London","Paddington, London, United Kingdom",ruthpenfold,@AidThompsin Paddington innit bruv. Actually by Royal Oak ?,1523898099438,,382549891.0,Westminster
5.0,Mon Apr 16 17:01:40 +0000 2018,en,Essex,"Hounslow, London, United Kingdom",nancymariama,I need a mathematician/IT winch to help me come up with the formula from heaven that will save my working day. DMs https://t.co/9i3VgF4ELB,1523898100908,,2722723580.0,Hounslow
1.0,Mon Apr 16 17:01:41 +0000 2018,en,"Dublin, Ireland","Wandsworth, London, United Kingdom",powerjax,The local park is a gift. One of my more mature thoughts. https://t.co/aJyhGqgNUD,1523898101977,,49795342.0,Wandsworth
4.0,Mon Apr 16 17:01:44 +0000 2018,en,,"Paddington, London, United Kingdom",Nicket_S,Such a struggle when you dont get enough sleep. ??????,1523898104501,,452242409.0,Westminster
7.0,Mon Apr 16 17:01:44 +0000 2018,en,,"Barnet, London, United Kingdom",ThatChanGirl,Save NHS doctor trained in the UK from deportation - Sign the Petition! https://t.co/iMGUke7grT via @UKChange,1523898104574,,341719196.0,Barnet
1.0,Mon Apr 16 17:01:45 +0000 2018,en,London Town,"51.5055545, -0.1381155",Sophie_McLean,"#Repost @berrybrosrudd with get_repost Culminating on Saturday 12th May, weve teamed up with https://t.co/wJgIQ2hzfR",1523898105842,,41198188.0,Westminster
1.0,Mon Apr 16 17:01:47 +0000 2018,en,"Here, There and Everywhere","Ilford, London, United Kingdom",ChigTheStiG,"@SteveVickers5 for #chairman of #ZIFA
@StarfmZimbabwe @nikkiinthestars @djmbale @ephraimtaguET @yvonnemangunda 
... https://t.co/05fn4BqR6w",1523898107622,,2774301610.0,Redbridge
6.0,Mon Apr 16 17:01:48 +0000 2018,en,Pinner Middlesex,"Harrow, London, United Kingdom",DeliaCazzato,@CllrNorman @PinnerLocal @MPSPinner @GrapefruitB @paulosborn @QueensHeadPinn @GibbsGillespie @Beer_Asylum Wow ? fab https://t.co/pvbyNwhfP9,1523898108604,,298029714.0,Harrow
5.0,Mon Apr 16 17:01:51 +0000 2018,en,"Crawley, South East","Kensington, London, United Kingdom",mallybulled,Good luck for tonight @bastilledan just in the pub around the corner ? #Bastille,1523898111600,,523500236.0,Kensington and Chelsea
1.0,Mon Apr 16 17:01:52 +0000 2018,und,Scotland/East London,"Islington, London, United Kingdom",i_padawan,@wakkerd grr,1523898112808,,136330123.0,Islington
1.0,Mon Apr 16 17:01:54 +0000 2018,fr,"London, England","Camden Town, London, Royaume-Uni",lesaintabdou,Maisonsaint https://t.co/qU5U5rR1WW,1523898114257,,3432966003.0,Camden
2.0,Mon Apr 16 17:01:55 +0000 2018,en,London,"Tottenham, London, United Kingdom",JossHannah,.@ambermb WROTE A BOOK. https://t.co/wz0fiCh21X,1523898115622,,916566451.0,Haringey
16.0,Mon Apr 16 17:01:58 +0000 2018,en,"London, England","51.48394855, 0.09887695",campionconsult,The Open University gave millions of Britons a second chance. Now it needs one itself | Will Hutton https://t.co/fVBFMjQkYj,1523898118203,,626406631.0,Greenwich
1.0,Mon Apr 16 17:01:59 +0000 2018,en,,"Camberwell, London, United Kingdom",Ashgreeno69,Bit of weak sun and your services poor at best again what excuses tonight @Se_Railway please,1523898119850,,890292302.0,Southwark
1.0,Mon Apr 16 17:02:03 +0000 2018,en,London | Oxford | Cheshire,"51.50711486, -0.12731805",KitchenArchLtd,Kitchen Architecture case study: Kitchen dining. Kitchen Architecture  bulthaup b3 furniture in https://t.co/XgWjdCnrsX,1523898123808,,876086587.0,Westminster
2.0,Mon Apr 16 17:02:06 +0000 2018,en,N 51°33' 0'' / W 0°4' 0'',"Hackney, London, United Kingdom",bookmeme,Wake up #WakefieldWest and read this thread. Nathan Garbutt is not fit for office. https://t.co/EFNniPzG6M,1523898126207,,120521974.0,Hackney
18.0,Mon Apr 16 17:02:06 +0000 2018,en,"Barnet, London","Barnet, London, United Kingdom",gazeeebo64,I've just emailed my MP to do all they can to make sure the #Windrush generation can stay. Will you email yours too? https://t.co/O8uwlbBycN,1523898126305,,95217106.0,Barnet
3.0,Mon Apr 16 17:02:06 +0000 2018,en,"West London, New York","Arts Club, United Kingdom",PelhamComms,Getting ready for tonights @The_Arts_Club arts quiz to support @ikongallery. https://t.co/HYxA0zUX71,1523898126071,,407747138.0,Westminster
1.0,Mon Apr 16 17:02:07 +0000 2018,en,At sea with wind in my sails,"51.50711486, -0.12731805",SireAjala,Just posted a photo @ Carnaby Street https://t.co/4y6BUOOIYp,1523898127641,,449786904.0,Westminster
1.0,Mon Apr 16 17:02:08 +0000 2018,en,,"51.50258834, 0.00435926",k_salanciova,"12/4/2018
After 7 years of fangirling and loving this guy I got to experience one of the best https://t.co/w8WkwG5bcr",1523898128621,,3107849589.0,Greenwich
3.0,Mon Apr 16 17:02:08 +0000 2018,en,"London, England","51.54777972, -0.1944887",adebradley,@SamCEllis Urgh thats so annoying. And now its a gamble about whether its worth the £2 to find out what it is.,1523898128682,,7786722.0,Camden
4.0,Mon Apr 16 17:02:12 +0000 2018,hi,North West London ,"Barnet, London, United Kingdom",shariquenomani,Kis bil se nikla yeh. Aajkal to busy tha kahin aur !!! https://t.co/IOlggxTyAd,1523898132744,,18548802.0,Barnet
1.0,Mon Apr 16 17:02:12 +0000 2018,en,"Walthamstow, London","Walthamstow, London, United Kingdom",K_IngalaSmith,@jehangreyjoy Who said anything about afraid?,1523898132938,,401212191.0,Waltham Forest
4.0,Mon Apr 16 17:02:14 +0000 2018,en,,"Hillingdon, London, United Kingdom",PriyaGrewal1,"Then you're losing manliness. May as well be gender confusion.

Why you're not where u should be for 6 foot guys fr https://t.co/enqufXXiNm",1523898134149,,550464306.0,Hillingdon
1.0,Mon Apr 16 17:02:15 +0000 2018,en,London,"Camberwell, London, United Kingdom",TimFrost23,"I'm about to see a First Folio and I actually feel a bit sick. Like I'm going on a date.
Bonkers! https://t.co/1xVjkAonR1",1523898135056,,310263042.0,Southwark
1.0,Mon Apr 16 17:02:17 +0000 2018,en,,"Lewisham, London, United Kingdom",MaryPickles,@sitdowncomedian @johndodds @faris @RuthNicholls As long as they don't get rid of the table service app I'm happy !! https://t.co/0veqMba1C4,1523898137478,,35314852.0,Lewisham
8.0,Mon Apr 16 17:02:20 +0000 2018,en,elephants,"Paddington, London, United Kingdom",aegoneryss,Deadass a maze in here https://t.co/Ml78DE7Eoa,1523898140492,,1289289271.0,Westminster
1.0,Mon Apr 16 17:02:24 +0000 2018,en,"Ahmedabad, Gujarat","51.5046, -0.13771",Surajalluvium,HRH The Duke of York thedukeofyork #PrinceAndrew talks about pitch@palace a platform to bring https://t.co/xxs5nojwym,1523898144311,,39993719.0,Westminster
1.0,Mon Apr 16 17:02:25 +0000 2018,en,"Islamabad, Pakistan","51.47158678, -0.48566549",nouman1988,"Take Off from #Heathrow 

#London #LHR #England #Tonight #KuwaitAirways #Boeing #Boeing777 https://t.co/eMz9GZe3SY",1523898145011,,228292747.0,Hillingdon
1.0,Mon Apr 16 17:02:26 +0000 2018,en,"Gillingham, England","Bromley, London, United Kingdom",StefanCato,The Deep-Filled State. https://t.co/ek9XadNmZl,1523898146226,,128908680.0,Bromley
1.0,Mon Apr 16 17:02:27 +0000 2018,en,,"51.50711486, -0.12731805",BankeKuku,"#monday #motivation #bankekuku @ London, United Kingdom https://t.co/lF4p8edzuE",1523898147858,,315822819.0,Westminster
2.0,Mon Apr 16 17:02:29 +0000 2018,en,"London, England","Poplar, London, United Kingdom",Look_UpLondon,@lululoveslondon @ScarlettRoitman @UKBlogAwards Now that I would love to see ?? hopefully we can catch up Friday! X,1523898149059,,1228531058.0,Tower Hamlets
2.0,Mon Apr 16 17:02:29 +0000 2018,en,"London, England","Hillingdon, London, United Kingdom",helenprior_,Feeling so inspired today because I'm surrounded by people that inspire me! My everyday friends I see and the peopl https://t.co/SbMV5uzyrB,1523898149037,,315144395.0,Hillingdon
2.0,Mon Apr 16 17:02:36 +0000 2018,en,"iPhone: 51.519615,-0.262223","51.50974153, -0.30544216",JonBall,"Taking a brief break from campaigning to get my much-needed election haircut. (@ Ealing Green in Ealing, Greater Lo https://t.co/WGK10syj8e",1523898156090,,15710574.0,Ealing
1.0,Mon Apr 16 17:02:42 +0000 2018,en,"London, England","Walthamstow, London, United Kingdom",andrewbforsyth,Guys tonight I am giggling at rats in Kensal Green with @shamblescomedy  come down for the most hype night in London,1523898162601,,85261291.0,Waltham Forest
7.0,Mon Apr 16 17:02:42 +0000 2018,en,Zenyatta Main,"Stratford, London, United Kingdom",Samos89,"never seen Angel, so for Christmas I got her the complete Angel box set. Saw her today for the first time since and https://t.co/IJzxMQa37r",1523898162657,,262113215.0,Newham
7.0,Mon Apr 16 17:02:45 +0000 2018,en,"London, England","Merton, London, United Kingdom",demelzajbm,"In stressful news, all ward staff are duty bound to come to work dressed in pyjamas tomorrow as part of a campaign https://t.co/IdGyi3l8HM",1523898165576,,36943962.0,Merton
2.0,Mon Apr 16 17:02:45 +0000 2018,en,London/essex,"Poplar, London, United Kingdom",Richiehill27,@Pchallis7 Got to win tonight scouse no excuses ???COYI,1523898165695,,4213318163.0,Tower Hamlets
3.0,Mon Apr 16 17:02:46 +0000 2018,en,london,"51.5096, -0.2043",aysemerveblog,"its blossom season ??? 
.
.
.
.
.
// #london #londoner #nottinghill #nottinghillgate https://t.co/0yUp4qnodK",1523898166326,,8.689800711676477e+17,Kensington and Chelsea
1.0,Mon Apr 16 17:02:51 +0000 2018,en,Wandsworth,"City of London, London, United Kingdom",NappyValleyNet,Hello Sun ?? beautiful day in NappyValley ? #nappyvalleynet https://t.co/CcPrbMrcwE,1523898171787,,122478265.0,City of London
2.0,Mon Apr 16 17:02:54 +0000 2018,en,South East London,"51.46213587, -0.0492239",2Caipirinhias,"I'm at Nunhead Cemetery in Nunhead, Greater London https://t.co/bkO2DJktvW",1523898174550,,22687432.0,Southwark
2.0,Mon Apr 16 17:02:56 +0000 2018,en,"London, England","Walthamstow, London, United Kingdom",JayLee_Official,Need to be more productive on here daw guys Im back !,1523898176135,,1861885808.0,Waltham Forest
1.0,Mon Apr 16 17:02:57 +0000 2018,en,London,"51.50711486, -0.12731805",SheGoesWear,Now that it fiiiiinally feels like Spring I wanted to share a sneak peak from a very bright &amp; https://t.co/U2TuYw54dc,1523898177011,,86794215.0,Westminster
1.0,Mon Apr 16 17:03:03 +0000 2018,en,"Enfield, North London","51.5018462, -0.1596773",gingerbirdevans,Looks interesting #cocktails #ladiesthatlunch #makeminealargeone @ Harvey Nichols https://t.co/boJ9exdygP,1523898183438,,348506202.0,Westminster
1.0,Mon Apr 16 17:03:03 +0000 2018,en,"Kentucky, USA syke","Hackney, London, United Kingdom",askedtf,@ISafarii Happy? https://t.co/abpKflSn8P,1523898183193,,9.236056854343066e+17,Hackney
1.0,Mon Apr 16 17:03:09 +0000 2018,en,London and Surrey,"Sutton, London, United Kingdom",pleives,Sainsburys Bank e-mail at 18.00 to confirm that certain products are being withdrawn by close of business today. https://t.co/2Ag2fJSH2s,1523898189229,,90198556.0,Sutton
1.0,Mon Apr 16 17:03:10 +0000 2018,en,"barcelona,jetstream,racetrack","City of London, London, United Kingdom",ChicaneTV,F1 plans to set up China office - https://t.co/h770yOJJJU https://t.co/8ex7sult11,1523898190070,,477652044.0,City of London
3.0,Mon Apr 16 17:03:10 +0000 2018,en,"Hillingdon, London","Hillingdon, London, United Kingdom",msbxo_,Home town??? https://t.co/F5WGBXbvvw,1523898190532,,7.795993802319135e+17,Hillingdon
17.0,Mon Apr 16 17:03:12 +0000 2018,es,In hell with Katherine Pierce ,"Sutton, London, Reino Unido",itslukesnosex,Hoy no dejo de comer. Estoy comiendo como una cerda ?,1523898192842,,616307523.0,Sutton
2.0,Mon Apr 16 17:03:13 +0000 2018,en,"Harlesden, United Kingdom","51.54430669, -0.02581358",Gezlarge,It is now an ex #schnitzel #pregamemeal #coyi? #pixel2xl @ PEARL Hackney Wick https://t.co/HWM6VTNnaw,1523898193938,,21387889.0,Hackney
7.0,Mon Apr 16 17:03:16 +0000 2018,en,West London,"Hounslow, London, United Kingdom",HELENLANGLEY3,@SimonBailey1210 @Gina_Beck @WE4Grenfell @katielangley201 You both sounded so beautiful - such amazing voices. Had https://t.co/BkQcoz9VHD,1523898196259,,577798681.0,Hounslow
22.0,Mon Apr 16 17:03:16 +0000 2018,en,"London, England","Croydon, London, United Kingdom",LTHlondon,@LeeWrightAddy Rudds hopefully. Shes just so shit.,1523898196486,,19291485.0,Croydon
1.0,Mon Apr 16 17:03:19 +0000 2018,en,"Burwell, England","51.538812, -0.023184",dave_boy,I'm at New Truman Brewery in London https://t.co/0JUNrHrCKM,1523898199159,,26857757.0,Tower Hamlets
3.0,Mon Apr 16 17:03:20 +0000 2018,und,S. LDN - KENT,"Bromley, London, United Kingdom",uniquegalore,@Trepz045  https://t.co/9Ih4WnMg8k,1523898200600,,338624412.0,Bromley
1.0,Mon Apr 16 17:03:21 +0000 2018,en,London,"Ealing, London, United Kingdom",DavidMax_ES,Check out my close friends first ever article. Its a really good read! #CFC https://t.co/I5uUKbTKFw,1523898201001,,7.318136668578488e+17,Ealing
1.0,Mon Apr 16 17:03:22 +0000 2018,en,Nottingham,"51.5454287, -0.0756175",The_Ruffs,Last weeks gig at @lift574 London was a belta!! Interview with thedandygirl (pictured) for https://t.co/h37uUGbDnU,1523898202221,,2165100242.0,Hackney
1.0,Mon Apr 16 17:03:22 +0000 2018,en,Middlesex,"Hillingdon, London, United Kingdom",HillingdonPosh,@PTAlanSwann Its not the top game of the night thats why?,1523898202412,,185970231.0,Hillingdon
1.0,Mon Apr 16 17:03:30 +0000 2018,en,London,"51.6, -0.266667",melovesushiUK,Sashimi salad This is for all the Sashimi lovers! Please refrain from trying to eat the https://t.co/PPlGgM5r49,1523898210215,,98854774.0,Brent
2.0,Mon Apr 16 17:03:33 +0000 2018,en,"London, UK","Paddington, London, United Kingdom",TJAdethink,His Excellency President Muhammadu Buhari today having a meeting with British Prime Minister @ 10 Downing Street! https://t.co/ZcndBbnqa3,1523898213270,,146776095.0,Westminster
1.0,Mon Apr 16 17:03:34 +0000 2018,en,,"Hackney, London, United Kingdom",MattSmithStorM,Im doing this tonight. Join the fuck in. https://t.co/LwU8JGgtFx,1523898214375,,4535659373.0,Hackney
5.0,Mon Apr 16 17:03:35 +0000 2018,en,"London, England","Stratford, London, United Kingdom",diltondiltond1,@redhammer8 Nope it sounds like a negative team AGAIN!!!! With Marko up front on his own hopefully still be enough!! Fingers crossed!!,1523898215777,,475222581.0,Newham
12.0,Mon Apr 16 17:03:39 +0000 2018,en,"Brick Lane, Shoreditch","Poplar, London, United Kingdom",lxurynifill,I genuinely find twerking so impressive like :/ wow... women are so powerful,1523898219504,,3184433014.0,Tower Hamlets
1.0,Mon Apr 16 17:03:40 +0000 2018,en,London,"Romford, London, United Kingdom",kimbochambers,@Bushmanwales Thank you ?,1523898220230,,23648997.0,Havering
4.0,Mon Apr 16 17:03:40 +0000 2018,en,"London, England","Hounslow, London, United Kingdom",davesumnersmith,"EV startup unveils reasonably priced new retro-looking electric car with in-wheel hub motors

https://t.co/GjvRHvOnfX",1523898220953,,13340732.0,Hounslow
3.0,Mon Apr 16 17:03:41 +0000 2018,en,"London, England","Camden Town, London, United Kingdom",SatbirLSingh,On days like today I really do feel proud that there are people like @DavidLammy in Parliament. Outstanding. https://t.co/gIKY1Smo2L,1523898221492,,57490139.0,Camden
16.0,Mon Apr 16 17:03:43 +0000 2018,es,"London, England","Poplar, London, Reino Unido",LaFrunofila,"Lo que me gusta viajar sola, algo que todo el mundo debería hacer al menos una vez, les aseguro que les quedará gustando. ?",1523898223040,,287887974.0,Tower Hamlets
13.0,Mon Apr 16 17:03:46 +0000 2018,en,Earth ,"Paddington, London, United Kingdom",MartCAFC45,@cabbiemike Looks like 8 weeks then all over ?,1523898226436,,22901166.0,Westminster
1.0,Mon Apr 16 17:03:48 +0000 2018,en,London,"Camberwell, London, United Kingdom",Barney_Tweets,Got some absolutely rad gigs lined up over the next couple months. Cant wait ??,1523898228851,,44586809.0,Southwark
4.0,Mon Apr 16 17:03:51 +0000 2018,en,"Hornchurch, Essex. UK.","Romford, London, United Kingdom",transaway,James Comey  appropriated a lot of powers during his stint as FBI director. He let politics creep into his work whe https://t.co/EGQ6u9MgIu,1523898231663,,206887686.0,Havering
1.0,Mon Apr 16 17:03:52 +0000 2018,en,"London WEST, W6, W8, SW6 ","51.4979728, -0.2276862",Wine_Rooms,Perfect start to the week! @ Brackenbury Wine Rooms https://t.co/XSHFzC1Fcv,1523898232414,,36345275.0,Hammersmith and Fulham
1.0,Mon Apr 16 17:03:56 +0000 2018,en,London & Lake District,"Poplar, London, United Kingdom",_abbiemillar,Me always https://t.co/uZTUq5ISvs,1523898236719,,718850317.0,Tower Hamlets
4.0,Mon Apr 16 17:03:57 +0000 2018,en,"Ilford, London","Ilford, London, United Kingdom",zam34_,Labour does not have an anti-semitism issue https://t.co/csKDjF7SEF,1523898237512,,2868905727.0,Redbridge
1.0,Mon Apr 16 17:04:02 +0000 2018,en,"London, England","Hammersmith, London, United Kingdom",GeorgiaArlott,@BigHCarter You cynic!,1523898242744,,408117674.0,Hammersmith and Fulham
1.0,Mon Apr 16 17:04:02 +0000 2018,en,"London, UK","Camberwell, London, United Kingdom",allylovessloths,"Thighs making me like... 
Thanks again for Heavy Strongman @FoundryFit https://t.co/fpKzMd9rXO",1523898242245,,474913259.0,Southwark
1.0,Mon Apr 16 17:04:11 +0000 2018,en,Behind a camera ,"51.50166667, -0.13194444",lemonjellie,"Peanut? 
_________________________________________
Feral parakeets in St James' park.  

    https://t.co/h8r66EQnjk",1523898251781,,17024017.0,Westminster
